Co,County Name,AEA,Dist,District Name,Grade8.Not Proficient,Grade8.Proficient,Grade8.Total Tested,Grade8.% Proficient
42,Hardin,7,9,AGWSR,6,33,39,84.6
39,Guthrie,11,18,Adair-Casey,3,16,19,84.2
25,Dallas,11,27,Adel DeSoto Minburn,11,109,120,90.8
75,Plymouth,12,63,Akron Westfield,7,22,29,75.9
11,Buena Vista,5,72,Albert City-Truesdale,,,,
68,Monroe,15,81,Albia,20,54,74,73
57,Linn,10,99,Alburnett,9,35,44,79.5
42,Hardin,7,108,Alden,,,,
55,Kossuth,5,126,Algona,15,85,100,85
3,Allamakee,1,135,Allamakee,11,65,76,85.5
12,Butler,7,153,North Butler,5,37,42,88.1
11,Buena Vista,5,171,Alta,,,,
85,Story,11,225,Ames,21,260,281,92.5
53,Jones,10,234,Anamosa,21,71,92,77.2
49,Jackson,9,243,Andrew,6,11,17,64.7
77,Polk,11,261,Ankeny,31,603,634,95.1
12,Butler,7,279,Aplington-Parkersburg,9,59,68,86.8
32,Emmet,5,333,Armstrong-Ringsted,,,,
24,Crawford,12,355,Ar-We-Va,2,15,17,88.2
15,Cass,13,387,Atlantic,17,94,111,84.7
5,Audubon,11,414,Audubon,2,30,32,93.8
18,Cherokee,12,423,Aurelia,12,37,49,75.5
78,Pottawattamie,13,441,A-H-S-T,8,42,50,84
85,Story,11,472,Ballard,30,98,128,76.6
47,Ida,12,504,Battle Creek-Ida Grove,,,,
50,Jasper,11,513,Baxter,4,28,32,87.5
38,Grundy,7,540,BCLUW,3,39,42,92.9
87,Taylor,13,549,Bedford,4,26,30,86.7
6,Benton,10,576,Belle Plaine,9,28,37,75.7
49,Jackson,9,585,Bellevue,8,28,36,77.8
99,Wright,7,594,Belmond-Klemme,12,40,52,76.9
16,Cedar,9,603,Bennett,,,,
6,Benton,10,609,Benton,25,78,103,75.7
82,Scott,9,621,Bettendorf,65,236,301,78.4
90,Wapello,15,657,Eddyville-Blakesburg-,13,48,61,78.7
77,Polk,11,720,Bondurant-Farrar,17,89,106,84
8,Boone,11,729,Boone,36,125,161,77.6
84,Sioux,12,747,Boyden-Hull,5,40,45,88.9
41,Hancock,7,819,West Hancock,6,25,31,80.6
79,Poweshiek,7,846,Brooklyn-Guernsey-Malcom,5,27,32,84.4
95,Winnebago,7,873,North Iowa,5,25,30,83.3
29,Des Moines,15,882,Burlington,101,181,282,64.2
15,Cass,13,914,CAM,12,31,43,72.1
35,Franklin,7,916,CAL,9,10,19,52.6
23,Clinton,9,918,Calamus-Wheatland,3,28,31,90.3
23,Clinton,9,936,Camanche,26,57,83,68.7
90,Wapello,15,977,Cardinal,20,15,35,42.9
91,Warren,11,981,Carlisle,22,124,146,84.9
14,Carroll,11,999,Carroll,20,107,127,84.3
7,Black Hawk,7,1044,Cedar Falls,33,295,328,89.9
57,Linn,10,1053,Cedar Rapids,347,749,1096,68.3
57,Linn,10,1062,Center Point-Urbana,8,99,107,92.5
4,Appanoose,15,1071,Centerville,25,72,97,74.2
56,Lee,15,1079,Central Lee,23,58,81,71.6
22,Clayton,1,1080,Central,12,25,37,67.6
23,Clinton,9,1082,Central Clinton,16,82,98,83.7
57,Linn,10,1089,Central City,3,26,29,89.7
27,Decatur,13,1093,Central Decatur,13,26,39,66.7
60,Lyon,12,1095,Central Lyon,12,27,39,69.2
59,Lucas,15,1107,Chariton,38,62,100,62
34,Floyd,7,1116,Charles City,21,97,118,82.2
24,Crawford,12,1134,Charter Oak-Ute,8,13,21,61.9
18,Cherokee,12,1152,Cherokee,11,62,73,84.9
73,Page,13,1197,Clarinda,10,53,63,84.1
99,Wright,5,1206,Clarion-Goldfield,9,60,69,87
20,Clarke,13,1211,Clarke,22,69,91,75.8
12,Butler,7,1215,Clarksville,7,11,18,61.1
21,Clay,5,1218,Clay Central-Everly,7,18,25,72
52,Johnson,10,1221,Clear Creek Amana,37,67,104,64.4
87,Taylor,13,1224,Clearfield,small N,small N,small N,small N
17,Cerro Gordo,7,1233,Clear Lake,24,79,103,76.7
23,Clinton,9,1278,Clinton,78,153,231,66.2
50,Jasper,11,1332,Colfax-Mingo,7,37,44,84.1
57,Linn,10,1337,College,55,307,362,84.8
85,Story,11,1350,Collins-Maxwell,7,28,35,80
85,Story,11,1359,Colo-NESCO School,7,22,29,75.9
58,Louisa,9,1368,Columbus,28,25,53,47.2
14,Carroll,11,1413,Coon Rapids-Bayard,8,23,31,74.2
2,Adams,13,1431,Corning,,,,
41,Hancock,7,1449,Corwith-Wesley,3,8,11,72.7
78,Pottawattamie,13,1476,Council Bluffs,191,333,524,63.5
88,Union,13,1503,Creston,17,82,99,82.8
25,Dallas,11,1576,Dallas Center-Grimes,23,148,171,86.5
29,Des Moines,15,1602,Danville,5,30,35,85.7
82,Scott,9,1611,Davenport,377,649,1026,63.3
26,Davis,15,1619,Davis County,14,60,74,81.1
96,Winneshiek,1,1638,Decorah Community,6,103,109,94.5
23,Clinton,9,1675,Delwood,,,,
24,Crawford,12,1701,Denison,41,99,140,70.7
9,Bremer,7,1719,Denver,2,45,47,95.7
77,Polk,11,1737,Des Moines Independent,870,1191,2061,57.8
80,Ringgold,13,1782,Diagonal,small N,small N,small N,small N
38,Grundy,7,1791,Dike-New Hartford,10,50,60,83.3
99,Wright,7,1854,Dows,,,,
31,Dubuque,1,1863,Dubuque,191,553,744,74.3
7,Black Hawk,7,1908,Dunkerton,15,19,34,55.9
43,Harrison,13,1917,Boyer Valley,4,27,31,87.1
16,Cedar,9,1926,Durant,25,25,50,50
99,Wright,5,1944,Eagle Grove,10,38,48,79.2
61,Madison,11,1953,Earlham,9,41,50,82
10,Buchanan,7,1963,East Buchanan,14,35,49,71.4
49,Jackson,9,1965,Easton Valley,7,25,32,78.1
37,Greene,5,1967,East Greene,,,,
64,Marshall,7,1968,East Marshall,12,61,73,83.6
88,Union,13,1970,East Union,13,24,37,64.9
3,Allamakee,1,1972,Eastern Allamakee,2,19,21,90.5
97,Woodbury,12,1975,River Valley,7,22,29,75.9
28,Delaware,1,1989,Edgewood-Colesburg,14,27,41,65.9
42,Hardin,7,2007,Eldora-New Providence,,,,
83,Shelby,13,2016,Elk Horn-Kimballton,,,,
74,Palo Alto,5,2088,Emmetsburg,16,35,51,68.6
48,Iowa,10,2097,English Valleys,7,19,26,73.1
73,Page,13,2113,Essex,1,15,16,93.8
32,Emmet,5,2124,Estherville Lincoln,25,74,99,74.7
5,Audubon,11,2151,Exira,7,18,25,72
51,Jefferson,15,2169,Fairfield,21,91,112,81.3
36,Fremont,13,2205,Farragut,,,,
95,Winnebago,7,2295,Forest City,11,81,92,88
94,Webster,5,2313,Fort Dodge,100,148,248,59.7
56,Lee,15,2322,Fort Madison,25,102,127,80.3
19,Chickasaw,1,2349,Fredericksburg,6,39,45,86.7
36,Fremont,13,2369,Fremont-Mills,10,20,30,66.7
47,Ida,12,2376,Galva-Holstein,,,,
41,Hancock,7,2403,Garner-Hayfield,,,,
60,Lyon,12,2457,George-Little Rock,8,24,32,75
85,Story,11,2466,Gilbert,3,96,99,97
46,Humboldt,5,2493,Gilmore City-Bradgate,,,,
38,Grundy,7,2502,Gladbrook-Reinbeck,9,35,44,79.5
65,Mills,13,2511,Glenwood,23,100,123,81.3
14,Carroll,11,2520,Glidden-Ralston,7,11,18,61.1
74,Palo Alto,5,2556,Graettinger-Terril,3,15,18,83.3
1,Adair,13,2673,Nodaway Valley,10,25,35,71.4
86,Tama,7,2682,GMG,3,30,33,90.9
79,Poweshiek,7,2709,Grinnell-Newburg,14,119,133,89.5
15,Cass,13,2718,Griswold,9,32,41,78
38,Grundy,7,2727,Grundy Center,4,38,42,90.5
39,Guthrie,11,2754,Guthrie Center,5,33,38,86.8
22,Clayton,1,2763,Clayton Ridge,11,26,37,70.3
48,Iowa,10,2766,H-L-V,6,14,20,70
36,Fremont,13,2772,Hamburg,4,14,18,77.8
35,Franklin,7,2781,Hampton-Dumont,8,51,59,86.4
83,Shelby,13,2826,Harlan,25,100,125,80
89,Van Buren,15,2834,Harmony,5,14,19,73.7
30,Dickinson,5,2846,Harris-Lake Park,2,18,20,90
71,O'Brien,12,2862,Hartley-Melvin-Sanborn,11,23,34,67.6
92,Washington,10,2977,Highland,17,31,48,64.6
75,Plymouth,12,2988,Hinton,7,38,45,84.4
45,Howard,1,3029,Howard-Winneshiek,22,76,98,77.6
42,Hardin,7,3033,Hubbard-Radcliffe,14,44,58,75.9
7,Black Hawk,7,3042,Hudson,5,45,50,90
46,Humboldt,5,3060,Humboldt,12,89,101,88.1
10,Buchanan,7,3105,Independence,13,82,95,86.3
91,Warren,11,3114,Indianola,44,212,256,82.8
61,Madison,11,3119,Interstate 35,12,55,67,82.1
52,Johnson,10,3141,Iowa City,204,653,857,76.2
42,Hardin,7,3150,Iowa Falls,35,71,106,67
48,Iowa,10,3154,Iowa Valley,4,24,28,85.7
24,Crawford,13,3168,IKM-Manning,10,33,43,76.7
9,Bremer,7,3186,Janesville Consolidated,7,22,29,75.9
37,Greene,5,3195,Jefferson-Scranton,18,86,104,82.7
10,Buchanan,7,3204,Jesup,12,45,57,78.9
77,Polk,11,3231,Johnston,29,438,467,93.8
56,Lee,15,3312,Keokuk,48,86,134,64.2
54,Keokuk,15,3330,Keota,5,18,23,78.3
75,Plymouth,12,3348,Kingsley-Pierson,10,30,40,75
63,Marion,11,3375,Knoxville,16,98,114,86
95,Winnebago,7,3420,Lake Mills,10,40,50,80
27,Decatur,13,3465,Lamoni,15,12,27,44.4
76,Pocahontas,5,3537,Laurens-Marathon,5,10,15,66.7
97,Woodbury,12,3555,Lawton-Bronson,11,34,45,75.6
75,Plymouth,12,3600,Le Mars,13,139,152,91.4
