County,County Name,AEA,District #,District Name,Grade8.Not Proficient,Grade8.Proficient,Grade8.Total Tested,Grade8.% Proficient
42,Hardin,7,9,AGWSR,7,21,28,75
39,Guthrie,11,18,Adair-Casey,6,15,21,71.4
25,Dallas,11,27,Adel DeSoto Minburn,7,105,112,93.8
75,Plymouth,12,63,Akron Westfield,10,33,43,76.7
11,Buena Vista,5,72,Albert City-Truesdale,0,0,0,
68,Monroe,15,81,Albia,22,55,77,71.4
57,Linn,10,99,Alburnett,10,33,43,76.7
42,Hardin,7,108,Alden,0,0,0,
55,Kossuth,5,126,Algona,19,78,97,80.4
3,Allamakee,1,135,Allamakee,16,65,81,80.2
12,Butler,7,153,North Butler,5,29,34,85.3
11,Buena Vista,5,171,Alta,0,0,0,
85,Story,11,225,Ames,44,240,284,84.5
53,Jones,10,234,Anamosa,25,75,100,75
49,Jackson,9,243,Andrew,5,12,17,70.6
77,Polk,11,261,Ankeny,84,667,751,88.8
12,Butler,7,279,Aplington-Parkersburg,20,44,64,68.8
32,Emmet,5,333,North Union,0,0,0,
24,Crawford,12,355,Ar-We-Va,2,12,14,85.7
15,Cass,13,387,Atlantic,19,83,102,81.4
5,Audubon,11,414,Audubon,7,28,35,80
18,Cherokee,12,423,Aurelia,19,37,56,66.1
78,Pottawattamie,13,441,A-H-S-T,8,36,44,81.8
85,Story,11,472,Ballard,18,111,129,86
47,Ida,12,504,Battle Creek-Ida Grove,0,0,0,
50,Jasper,11,513,Baxter,9,19,28,67.9
38,Grundy,7,540,BCLUW,6,30,36,83.3
87,Taylor,13,549,Bedford,5,27,32,84.4
6,Benton,10,576,Belle Plaine,15,26,41,63.4
49,Jackson,9,585,Bellevue,16,39,55,70.9
99,Wright,7,594,Belmond-Klemme,8,32,40,80
16,Cedar,9,603,Bennett,0,0,0,
6,Benton,10,609,Benton,25,66,91,72.5
82,Scott,9,621,Bettendorf,58,278,336,82.7
90,Wapello,15,657,Eddyville-Blakesburg-,19,45,64,70.3
77,Polk,11,720,Bondurant-Farrar,9,114,123,92.7
8,Boone,11,729,Boone,50,96,146,65.8
84,Sioux,12,747,Boyden-Hull,7,43,50,86
41,Hancock,7,819,West Hancock,5,36,41,87.8
