County,County Name,AEA,District #,District Name,Grade8.Not Proficient,Grade8.Proficient,Grade8.Total Tested,Grade8.% Proficient
42,Hardin,7,9,AGWSR,7,30,37,81.1
39,Guthrie,11,18,Adair-Casey,5,56,61,91.8
25,Dallas,11,27,Adel DeSoto Minburn,15,95,110,86.4
75,Plymouth,12,63,Akron Westfield,6,30,36,83.3
11,Buena Vista,5,72,Albert City-Truesdale,0,0,0,
68,Monroe,15,81,Albia,17,73,90,81.1
57,Linn,10,99,Alburnett,7,39,46,84.8
42,Hardin,7,108,Alden,0,0,0,
55,Kossuth,5,126,Algona,19,78,97,80.4
3,Allamakee,1,135,Allamakee,16,60,76,78.9
12,Butler,7,153,North Butler,3,46,49,93.9
11,Buena Vista,5,171,Alta,0,0,0,
85,Story,11,225,Ames,50,274,324,84.6
53,Jones,10,234,Anamosa,20,77,97,79.4
49,Jackson,9,243,Andrew,3,9,12,75
77,Polk,11,261,Ankeny,103,706,809,87.3
12,Butler,7,279,Aplington-Parkersburg,14,37,51,72.5
32,Emmet,5,333,North Union,0,0,0,
24,Crawford,12,355,Ar-We-Va,2,11,13,84.6
15,Cass,13,387,Atlantic,11,69,80,86.3
5,Audubon,11,414,Audubon,3,31,34,91.2
18,Cherokee,12,423,Aurelia,4,41,45,91.1
78,Pottawattamie,13,441,AHSTW,6,37,43,86
85,Story,11,472,Ballard,29,83,112,74.1
47,Ida,12,504,Battle Creek-Ida Grove,0,0,0,
50,Jasper,11,513,Baxter,4,15,19,78.9
38,Grundy,7,540,BCLUW,2,44,46,95.7
87,Taylor,13,549,Bedford,1,25,26,96.2
6,Benton,10,576,Belle Plaine,13,32,45,71.1
49,Jackson,9,585,Bellevue,14,34,48,70.8
99,Wright,7,594,Belmond-Klemme,10,47,57,82.5
16,Cedar,9,603,Bennett,0,0,0,
6,Benton,10,609,Benton,21,96,117,82.1
82,Scott,9,621,Bettendorf,80,262,342,76.6
90,Wapello,15,657,Eddyville-Blakesburg-,23,48,71,67.6
77,Polk,11,720,Bondurant-Farrar,21,111,132,84.1
8,Boone,11,729,Boone,33,103,136,75.7
84,Sioux,12,747,Boyden-Hull,7,42,49,85.7
41,Hancock,7,819,West Hancock,10,31,41,75.6
79,Poweshiek,7,846,Brooklyn-Guernsey-Malcom,10,25,35,71.4
95,Winnebago,7,873,North Iowa,9,22,31,71
29,Des Moines,15,882,Burlington,88,135,223,60.5
15,Cass,13,914,CAM,18,37,55,67.3
35,Franklin,7,916,CAL,7,8,15,53.3
23,Clinton,9,918,Calamus-Wheatland,9,19,28,67.9
23,Clinton,9,936,Camanche,25,42,67,62.7
90,Wapello,15,977,Cardinal,0,0,0,
91,Warren,11,981,Carlisle,27,109,136,80.1
14,Carroll,11,999,Carroll,18,94,112,83.9
7,Black Hawk,7,1044,Cedar Falls,47,354,401,88.3
57,Linn,10,1053,Cedar Rapids,352,611,963,63.4
57,Linn,10,1062,Center Point-Urbana,6,100,106,94.3
4,Appanoose,15,1071,Centerville,26,62,88,70.5
56,Lee,15,1079,Central Lee,24,53,77,68.8
22,Clayton,1,1080,Central,9,22,31,71
23,Clinton,9,1082,Central DeWitt,18,84,102,82.4
57,Linn,10,1089,Central City,10,20,30,66.7
27,Decatur,13,1093,Central Decatur,7,45,52,86.5
60,Lyon,12,1095,Central Lyon,6,39,45,86.7
59,Lucas,15,1107,Chariton,35,47,82,57.3
34,Floyd,7,1116,Charles City,44,66,110,60
24,Crawford,12,1134,Charter Oak-Ute,7,9,16,56.3
18,Cherokee,12,1152,Cherokee,19,55,74,74.3
73,Page,13,1197,Clarinda,15,51,66,77.3
99,Wright,5,1206,Clarion-Goldfield-Dows,8,52,60,86.7
20,Clarke,13,1211,Clarke,21,68,89,76.4
12,Butler,7,1215,Clarksville,5,15,20,75
21,Clay,5,1218,Clay Central-Everly,5,19,24,79.2
52,Johnson,10,1221,Clear Creek Amana,35,114,149,76.5
17,Cerro Gordo,7,1233,Clear Lake,20,63,83,75.9
23,Clinton,9,1278,Clinton,63,134,197,68
50,Jasper,11,1332,Colfax-Mingo,14,31,45,68.9
57,Linn,10,1337,College,96,312,408,76.5
85,Story,11,1350,Collins-Maxwell,4,22,26,84.6
85,Story,11,1359,Colo-NESCO,14,24,38,63.2
58,Louisa,9,1368,Columbus,24,17,41,41.5
14,Carroll,11,1413,Coon Rapids-Bayard,7,24,31,77.4
2,Adams,13,1431,Corning,0,0,0,
78,Pottawattamie,13,1476,Council Bluffs,180,356,536,66.4
88,Union,13,1503,Creston,28,61,89,68.5
25,Dallas,11,1576,Dallas Center-Grimes,18,165,183,90.2
29,Des Moines,15,1602,Danville,3,40,43,93
82,Scott,9,1611,Davenport,377,541,918,58.9
26,Davis,15,1619,Davis County,31,51,82,62.2
96,Winneshiek,1,1638,Decorah Community,20,112,132,84.8
23,Clinton,9,1675,Delwood,0,0,0,
24,Crawford,12,1701,Denison,43,121,164,73.8
9,Bremer,7,1719,Denver,5,54,59,91.5
77,Polk,11,1737,Des Moines Independent,856,"1,132","1,988",56.9
80,Ringgold,13,1782,Diagonal,small N,small N,small N,small N
38,Grundy,7,1791,Dike-New Hartford,10,53,63,84.1
31,Dubuque,1,1863,Dubuque,179,501,680,73.7
7,Black Hawk,7,1908,Dunkerton,10,27,37,73
43,Harrison,13,1917,Boyer Valley,9,19,28,67.9
16,Cedar,9,1926,Durant,13,47,60,78.3
99,Wright,5,1944,Eagle Grove,13,39,52,75
61,Madison,11,1953,Earlham,9,40,49,81.6
10,Buchanan,7,1963,East Buchanan,7,31,38,81.6
49,Jackson,9,1965,Easton Valley,7,33,40,82.5
64,Marshall,7,1968,East Marshall,7,55,62,88.7
