,,,,,Grade 3,,,,,Grade 4,,,,,Grade 5,,,,,Grade 6,,,,,Grade 7,,,,,Grade 8,,,,,Grade 10,,,,,Grade 11,,,
Co,County Name,AEA,Dist,District Name,Not Proficient,Proficient,Total Tested,% Proficient,,Not Proficient,Proficient,Total Tested,% Proficient,,Not Proficient,Proficient,Total Tested,% Proficient,,Not Proficient,Proficient,Total Tested,% Proficient,,Not Proficient,Proficient,Total Tested,% Proficient,,Not Proficient,Proficient,Total Tested,% Proficient,,Not Proficient,Proficient,Total Tested,% Proficient,,Not Proficient,Proficient,Total Tested,% Proficient
42,Hardin,7,9,AGWSR,9,34,43,79.1,,7,29,36,80.6,,1,31,32,96.9,,5,21,26,80.8,,5,34,39,87.2,,6,33,39,84.6,,5,26,31,83.9,,2,38,40,95
39,Guthrie,11,18,Adair-Casey,4,23,27,85.2,,1,26,27,96.3,,1,14,15,93.3,,2,18,20,90,,3,19,22,86.4,,3,16,19,84.2,,4,22,26,84.6,,2,15,17,88.2
25,Dallas,11,27,Adel DeSoto Minburn,12,97,109,89,,13,84,97,86.6,,20,88,108,81.5,,11,99,110,90,,11,99,110,90,,11,109,120,90.8,,13,92,105,87.6,,4,110,114,96.5
75,Plymouth,12,63,Akron Westfield,6,28,34,82.4,,5,28,33,84.8,,4,26,30,86.7,,7,31,38,81.6,,4,23,27,85.2,,7,22,29,75.9,,2,28,30,93.3,,2,34,36,94.4
11,Buena Vista,5,72,Albert City-Truesdale,3,13,16,81.3,,small N,small N,small N,small N,,2,15,17,88.2,,1,11,12,91.7,,,,,,,,,,,,,,,,,,,,
68,Monroe,15,81,Albia,12,67,79,84.8,,17,60,77,77.9,,26,62,88,70.5,,21,51,72,70.8,,15,60,75,80,,20,54,74,73,,21,62,83,74.7,,22,63,85,74.1
57,Linn,10,99,Alburnett,2,38,40,95,,4,35,39,89.7,,12,32,44,72.7,,8,36,44,81.8,,5,44,49,89.8,,9,35,44,79.5,,9,38,47,80.9,,6,62,68,91.2
42,Hardin,7,108,Alden,3,13,16,81.3,,3,18,21,85.7,,3,15,18,83.3,,36,57,93,61.3,,,,,,,,,,,,,,,,,,,,
55,Kossuth,5,126,Algona,8,65,73,89,,14,63,77,81.8,,20,64,84,76.2,,21,74,95,77.9,,12,78,90,86.7,,15,85,100,85,,20,79,99,79.8,,20,76,96,79.2
3,Allamakee,1,135,Allamakee,3,65,68,95.6,,13,56,69,81.2,,31,64,95,67.4,,12,51,63,81,,11,50,61,82,,11,65,76,85.5,,8,85,93,91.4,,4,87,91,95.6
12,Butler,7,153,North Butler,7,48,55,87.3,,3,42,45,93.3,,3,33,36,91.7,,9,28,37,75.7,,2,41,43,95.3,,5,37,42,88.1,,7,38,45,84.4,,2,42,44,95.5
11,Buena Vista,5,171,Alta,7,28,35,80,,10,21,31,67.7,,9,23,32,71.9,,,,,,,,,,,,,,,,,7,42,49,85.7,,4,44,48,91.7
85,Story,11,225,Ames,31,231,262,88.2,,40,265,305,86.9,,27,215,242,88.8,,23,220,243,90.5,,19,259,278,93.2,,21,260,281,92.5,,21,245,266,92.1,,25,272,297,91.6
