,,,,,Grade 3,,,,,Grade 4,,,,,Grade 5,,,,,Grade 6,,,,,Grade 7,,,,,Grade 8,,,,,Grade 10,,,,,Grade 11,,,
Co,County Name,AEA,District #,District Name,Not Proficient,Proficient,Total Tested,% Proficient,,Not Proficient,Proficient,Total Tested,% Proficient,,Not Proficient,Proficient,Total Tested,% Proficient,,Not Proficient,Proficient,Total Tested,% Proficient,,Not Proficient,Proficient,Total Tested,% Proficient,,Not Proficient,Proficient,Total Tested,% Proficient,,Not Proficient,Proficient,Total Tested,% Proficient,,Not Proficient,Proficient,Total Tested,% Proficient
42,Hardin,7,9,AGWSR,13,30,43,69.8,,10,26,36,72.2,,2,30,32,93.8,,3,23,26,88.5,,5,34,39,87.2,,6,33,39,84.6,,3,28,31,90.3,,3,37,40,92.5
39,Guthrie,11,18,Adair-Casey,9,18,27,66.7,,2,25,27,92.6,,4,11,15,73.3,,6,14,20,70,,7,15,22,68.2,,4,15,19,78.9,,3,23,26,88.5,,4,13,17,76.5
25,Dallas,11,27,Adel DeSoto Minburn,14,95,109,87.2,,10,87,97,89.7,,18,90,108,83.3,,14,96,110,87.3,,13,97,110,88.2,,10,110,120,91.7,,10,95,105,90.5,,10,104,114,91.2
75,Plymouth,12,63,Akron Westfield,3,31,34,91.2,,5,28,33,84.8,,7,23,30,76.7,,9,29,38,76.3,,4,23,27,85.2,,7,22,29,75.9,,1,29,30,96.7,,6,30,36,83.3
11,Buena Vista,5,72,Albert City-Truesdale,2,14,16,87.5,,small N,small N,small N,small N,,2,15,17,88.2,,4,8,12,66.7,,,,,,,,,,,,,,,,,,,,
68,Monroe,15,81,Albia,12,67,79,84.8,,25,52,77,67.5,,23,65,88,73.9,,19,53,72,73.6,,21,54,75,72,,16,58,74,78.4,,12,71,83,85.5,,23,62,85,72.9
57,Linn,10,99,Alburnett,4,36,40,90,,5,34,39,87.2,,10,34,44,77.3,,9,35,44,79.5,,7,42,49,85.7,,10,34,44,77.3,,7,40,47,85.1,,11,57,68,83.8
42,Hardin,7,108,Alden,16,,16,0,,5,16,21,76.2,,4,14,18,77.8,,32,61,93,65.6,,,,,,,,,,,,,,,,,,,,
55,Kossuth,5,126,Algona,16,57,73,78.1,,20,57,77,74,,18,66,84,78.6,,18,77,95,81.1,,24,66,90,73.3,,20,80,100,80,,18,81,99,81.8,,19,77,96,80.2
3,Allamakee,1,135,Allamakee,5,63,68,92.6,,13,56,69,81.2,,21,74,95,77.9,,9,54,63,85.7,,10,51,61,83.6,,14,62,76,81.6,,13,80,93,86,,18,73,91,80.2
12,Butler,7,153,North Butler,12,43,55,78.2,,8,37,45,82.2,,2,34,36,94.4,,13,24,37,64.9,,8,35,43,81.4,,8,34,42,81,,6,39,45,86.7,,6,38,44,86.4
11,Buena Vista,5,171,Alta,9,26,35,74.3,,9,22,31,71,,11,21,32,65.6,,,,,,,,,,,,,,,,,4,45,49,91.8,,6,42,48,87.5
85,Story,11,225,Ames,25,237,262,90.5,,45,260,305,85.2,,25,217,242,89.7,,28,215,243,88.5,,39,239,278,86,,37,244,281,86.8,,15,251,266,94.4,,43,254,297,85.5
53,Jones,10,234,Anamosa,14,57,71,80.3,,19,54,73,74,,16,53,69,76.8,,19,66,85,77.6,,27,72,99,72.7,,26,66,92,71.7,,11,80,91,87.9,,21,65,86,75.6
49,Jackson,9,243,Andrew,1,9,10,90,,5,17,22,77.3,,5,9,14,64.3,,8,12,20,60,,6,12,18,66.7,,4,13,17,76.5,,,,,,,,,,
77,Polk,11,261,Ankeny,99,654,753,86.9,,98,650,748,86.9,,66,649,715,90.8,,83,638,721,88.5,,72,610,682,89.4,,65,569,634,89.7,,26,588,614,95.8,,50,515,565,91.2
12,Butler,7,279,Aplington-Parkersburg,7,51,58,87.9,,7,48,55,87.3,,11,40,51,78.4,,23,43,66,65.2,,17,30,47,63.8,,14,54,68,79.4,,9,61,70,87.1,,12,42,54,77.8
32,Emmet,5,333,Armstrong-Ringsted,,,,,,,,,,,small N,small N,small N,small N,,,,,,,,,,,,,,,,,7,39,46,84.8,,18,28,46,60.9
24,Crawford,12,355,Ar-We-Va,2,11,13,84.6,,4,9,13,69.2,,6,13,19,68.4,,2,10,12,83.3,,,14,14,100,,2,15,17,88.2,,1,13,14,92.9,,3,11,14,78.6
15,Cass,13,387,Atlantic,,,,,,29,63,92,68.5,,19,90,109,82.6,,24,69,93,74.2,,20,80,100,80,,19,92,111,82.9,,13,67,80,83.8,,25,79,104,76
5,Audubon,11,414,Audubon,8,20,28,71.4,,5,30,35,85.7,,7,27,34,79.4,,11,25,36,69.4,,7,20,27,74.1,,7,25,32,78.1,,4,51,55,92.7,,8,38,46,82.6
18,Cherokee,12,423,Aurelia,3,8,11,72.7,,3,10,13,76.9,,8,13,21,61.9,,21,31,52,59.6,,14,39,53,73.6,,9,40,49,81.6,,,,,,,,,,
78,Pottawattamie,13,441,A-H-S-T,7,20,27,74.1,,11,21,32,65.6,,9,27,36,75,,10,31,41,75.6,,13,22,35,62.9,,14,36,50,72,,5,39,44,88.6,,1,34,35,97.1
85,Story,11,472,Ballard,30,76,106,71.7,,20,76,96,79.2,,27,108,135,80,,21,104,125,83.2,,17,97,114,85.1,,31,97,128,75.8,,11,96,107,89.7,,18,108,126,85.7
47,Ida,12,504,Battle Creek-Ida Grove,3,35,38,92.1,,14,32,46,69.6,,9,34,43,79.1,,,,,,,,,,,,,,,,,9,42,51,82.4,,15,57,72,79.2
50,Jasper,11,513,Baxter,9,24,33,72.7,,4,19,23,82.6,,2,25,27,92.6,,12,17,29,58.6,,6,26,32,81.3,,7,25,32,78.1,,2,29,31,93.5,,4,23,27,85.2
38,Grundy,7,540,BCLUW,7,26,33,78.8,,11,33,44,75,,9,26,35,74.3,,9,29,38,76.3,,7,37,44,84.1,,5,37,42,88.1,,3,43,46,93.5,,8,29,37,78.4
87,Taylor,13,549,Bedford,4,22,26,84.6,,10,18,28,64.3,,6,24,30,80,,10,20,30,66.7,,7,22,29,75.9,,6,24,30,80,,,38,38,100,,2,30,32,93.8
6,Benton,10,576,Belle Plaine,10,33,43,76.7,,10,39,49,79.6,,9,27,36,75,,12,30,42,71.4,,16,32,48,66.7,,11,26,37,70.3,,4,31,35,88.6,,9,20,29,69
49,Jackson,9,585,Bellevue,7,28,35,80,,6,29,35,82.9,,11,28,39,71.8,,17,38,55,69.1,,5,44,49,89.8,,6,30,36,83.3,,9,41,50,82,,12,48,60,80
99,Wright,7,594,Belmond-Klemme,12,37,49,75.5,,12,51,63,81,,12,41,53,77.4,,8,30,38,78.9,,2,35,37,94.6,,14,38,52,73.1,,3,34,37,91.9,,1,40,41,97.6
16,Cedar,9,603,Bennett,small N,small N,small N,small N,,2,10,12,83.3,,1,9,10,90,,small N,small N,small N,small N,,,,,,,,,,,,,,,,,,,,
6,Benton,10,609,Benton,14,74,88,84.1,,25,80,105,76.2,,21,93,114,81.6,,22,70,92,76.1,,17,80,97,82.5,,17,86,103,83.5,,19,82,101,81.2,,15,96,111,86.5
82,Scott,9,621,Bettendorf,61,178,239,74.5,,49,253,302,83.8,,166,134,300,44.7,,59,250,309,80.9,,70,247,317,77.9,,56,245,301,81.4,,44,314,358,87.7,,58,254,312,81.4
90,Wapello,15,657,Eddyville-Blakesburg-,7,42,49,85.7,,23,42,65,64.6,,27,42,69,60.9,,15,54,69,78.3,,22,55,77,71.4,,14,47,61,77,,7,44,51,86.3,,13,52,65,80
77,Polk,11,720,Bondurant-Farrar,22,109,131,83.2,,14,98,112,87.5,,25,98,123,79.7,,15,97,112,86.6,,20,93,113,82.3,,11,95,106,89.6,,10,96,106,90.6,,7,85,92,92.4
8,Boone,11,729,Boone,16,99,115,86.1,,13,99,112,88.4,,28,94,122,77,,46,77,123,62.6,,36,105,141,74.5,,42,119,161,73.9,,22,148,170,87.1,,39,129,168,76.8
84,Sioux,12,747,Boyden-Hull,4,40,44,90.9,,9,39,48,81.3,,4,44,48,91.7,,5,43,48,89.6,,5,36,41,87.8,,10,35,45,77.8,,6,37,43,86,,7,41,48,85.4
41,Hancock,7,819,West Hancock,6,39,45,86.7,,17,26,43,60.5,,9,33,42,78.6,,11,32,43,74.4,,4,30,34,88.2,,9,22,31,71,,9,33,42,78.6,,14,25,39,64.1
79,Poweshiek,7,846,Brooklyn-Guernsey-Malcom,3,36,39,92.3,,4,27,31,87.1,,,26,26,100,,9,34,43,79.1,,12,33,45,73.3,,8,24,32,75,,13,42,55,76.4,,9,31,40,77.5
95,Winnebago,7,873,North Iowa,2,21,23,91.3,,4,25,29,86.2,,1,18,19,94.7,,15,21,36,58.3,,13,17,30,56.7,,9,21,30,70,,4,25,29,86.2,,7,26,33,78.8
29,Des Moines,15,882,Burlington,61,209,270,77.4,,74,206,280,73.6,,72,229,301,76.1,,97,193,290,66.6,,83,166,249,66.7,,83,199,282,70.6,,44,211,255,82.7,,72,173,245,70.6
15,Cass,13,914,CAM,6,33,39,84.6,,7,29,36,80.6,,11,29,40,72.5,,16,22,38,57.9,,11,27,38,71.1,,6,37,43,86,,3,53,56,94.6,,11,23,34,67.6
35,Franklin,7,916,CAL,9,10,19,52.6,,5,12,17,70.6,,6,11,17,64.7,,10,5,15,33.3,,5,10,15,66.7,,3,16,19,84.2,,2,11,13,84.6,,10,8,18,44.4
23,Clinton,9,918,Calamus-Wheatland,3,24,27,88.9,,5,19,24,79.2,,7,30,37,81.1,,6,28,34,82.4,,13,33,46,71.7,,4,27,31,87.1,,7,37,44,84.1,,10,24,34,70.6
23,Clinton,9,936,Camanche,15,67,82,81.7,,21,50,71,70.4,,16,64,80,80,,25,51,76,67.1,,10,54,64,84.4,,23,60,83,72.3,,7,74,81,91.4,,26,50,76,65.8
90,Wapello,15,977,Cardinal,18,16,34,47.1,,20,16,36,44.4,,7,25,32,78.1,,22,18,40,45,,13,35,48,72.9,,19,16,35,45.7,,9,30,39,76.9,,17,32,49,65.3
91,Warren,11,981,Carlisle,31,102,133,76.7,,21,99,120,82.5,,19,113,132,85.6,,20,106,126,84.1,,26,131,157,83.4,,26,120,146,82.2,,17,133,150,88.7,,25,121,146,82.9
14,Carroll,11,999,Carroll,15,110,125,88,,16,96,112,85.7,,17,91,108,84.3,,16,88,104,84.6,,17,73,90,81.1,,26,101,127,79.5,,1,109,110,99.1,,18,89,107,83.2
7,Black Hawk,7,1044,Cedar Falls,36,308,344,89.5,,78,325,403,80.6,,70,275,345,79.7,,57,290,347,83.6,,76,278,354,78.5,,59,269,328,82,,16,360,376,95.7,,29,306,335,91.3
57,Linn,10,1053,Cedar Rapids,266,774,1040,74.4,,304,759,1063,71.4,,259,850,1109,76.6,,371,690,1061,65,,310,775,1085,71.4,,326,770,1096,70.3,,167,915,1082,84.6,,222,808,1030,78.4
57,Linn,10,1062,Center Point-Urbana,25,79,104,76,,21,88,109,80.7,,27,83,110,75.5,,30,88,118,74.6,,9,88,97,90.7,,24,83,107,77.6,,3,101,104,97.1,,5,77,82,93.9
4,Appanoose,15,1071,Centerville,18,69,87,79.3,,16,76,92,82.6,,21,82,103,79.6,,26,84,110,76.4,,24,52,76,68.4,,26,71,97,73.2,,14,75,89,84.3,,23,65,88,73.9
56,Lee,15,1079,Central Lee,15,53,68,77.9,,19,57,76,75,,12,55,67,82.1,,17,48,65,73.8,,20,56,76,73.7,,21,60,81,74.1,,9,77,86,89.5,,19,67,86,77.9
22,Clayton,1,1080,Central,6,27,33,81.8,,6,22,28,78.6,,7,22,29,75.9,,3,27,30,90,,6,23,29,79.3,,9,28,37,75.7,,6,30,36,83.3,,7,21,28,75
23,Clinton,9,1082,Central Clinton,15,82,97,84.5,,24,73,97,75.3,,8,74,82,90.2,,15,86,101,85.1,,22,86,108,79.6,,26,72,98,73.5,,14,112,126,88.9,,10,98,108,90.7
57,Linn,10,1089,Central City,8,21,29,72.4,,5,25,30,83.3,,8,20,28,71.4,,7,22,29,75.9,,7,32,39,82.1,,3,26,29,89.7,,1,31,32,96.9,,6,40,46,87
27,Decatur,13,1093,Central Decatur,15,45,60,75,,13,43,56,76.8,,19,25,44,56.8,,2,30,32,93.8,,13,30,43,69.8,,13,26,39,66.7,,10,30,40,75,,13,40,53,75.5
60,Lyon,12,1095,Central Lyon,6,53,59,89.8,,6,39,45,86.7,,8,46,54,85.2,,5,44,49,89.8,,3,36,39,92.3,,16,23,39,59,,3,38,41,92.7,,1,35,36,97.2
59,Lucas,15,1107,Chariton,15,62,77,80.5,,19,63,82,76.8,,21,59,80,73.8,,39,57,96,59.4,,32,69,101,68.3,,33,67,100,67,,20,77,97,79.4,,15,79,94,84
34,Floyd,7,1116,Charles City,24,68,92,73.9,,27,64,91,70.3,,25,71,96,74,,23,76,99,76.8,,15,76,91,83.5,,20,98,118,83.1,,7,98,105,93.3,,19,96,115,83.5
24,Crawford,12,1134,Charter Oak-Ute,2,13,15,86.7,,10,11,21,52.4,,3,16,19,84.2,,12,12,24,50,,6,8,14,57.1,,5,16,21,76.2,,1,19,20,95,,5,15,20,75
18,Cherokee,12,1152,Cherokee,20,59,79,74.7,,15,51,66,77.3,,29,47,76,61.8,,15,50,65,76.9,,16,58,74,78.4,,20,53,73,72.6,,8,65,73,89,,5,47,52,90.4
73,Page,13,1197,Clarinda,14,54,68,79.4,,20,40,60,66.7,,16,39,55,70.9,,15,43,58,74.1,,19,46,65,70.8,,15,48,63,76.2,,15,65,80,81.3,,18,61,79,77.2
99,Wright,5,1206,Clarion-Goldfield,15,33,48,68.8,,7,46,53,86.8,,20,36,56,64.3,,13,35,48,72.9,,30,41,71,57.7,,20,49,69,71,,5,46,51,90.2,,14,49,63,77.8
20,Clarke,13,1211,Clarke,24,66,90,73.3,,30,54,84,64.3,,26,67,93,72,,27,55,82,67.1,,31,60,91,65.9,,32,59,91,64.8,,19,73,92,79.3,,16,54,70,77.1
12,Butler,7,1215,Clarksville,,16,16,100,,3,18,21,85.7,,7,14,21,66.7,,9,15,24,62.5,,5,16,21,76.2,,7,11,18,61.1,,1,25,26,96.2,,4,13,17,76.5
21,Clay,5,1218,Clay Central-Everly,4,15,19,78.9,,6,19,25,76,,2,20,22,90.9,,3,14,17,82.4,,5,22,27,81.5,,9,16,25,64,,1,18,19,94.7,,5,19,24,79.2
52,Johnson,10,1221,Clear Creek Amana,22,119,141,84.4,,33,104,137,75.9,,31,109,140,77.9,,19,89,108,82.4,,28,100,128,78.1,,22,82,104,78.8,,16,104,120,86.7,,28,105,133,78.9
87,Taylor,13,1224,Clearfield,small N,small N,small N,small N,,small N,small N,small N,small N,,,,,,,,,,,,small N,small N,small N,small N,,small N,small N,small N,small N,,small N,small N,small N,small N,,small N,small N,small N,small N
17,Cerro Gordo,7,1233,Clear Lake,15,71,86,82.6,,16,67,83,80.7,,14,74,88,84.1,,10,77,87,88.5,,11,74,85,87.1,,27,76,103,73.8,,19,78,97,80.4,,26,81,107,75.7
23,Clinton,9,1278,Clinton,31,210,241,87.1,,36,179,215,83.3,,43,202,245,82.4,,64,180,244,73.8,,67,178,245,72.7,,61,170,231,73.6,,44,214,258,82.9,,56,177,233,76
50,Jasper,11,1332,Colfax-Mingo,8,32,40,80,,12,35,47,74.5,,1,41,42,97.6,,16,47,63,74.6,,13,34,47,72.3,,10,34,44,77.3,,6,35,41,85.4,,8,32,40,80
57,Linn,10,1337,College,89,279,368,75.8,,92,258,350,73.7,,86,265,351,75.5,,76,273,349,78.2,,71,269,340,79.1,,45,317,362,87.6,,20,279,299,93.3,,41,277,318,87.1
85,Story,11,1350,Collins-Maxwell,2,20,22,90.9,,3,26,29,89.7,,3,22,25,88,,14,22,36,61.1,,9,24,33,72.7,,9,26,35,74.3,,11,12,23,52.2,,11,25,36,69.4
85,Story,11,1359,Colo-NESCO School,6,22,28,78.6,,6,30,36,83.3,,5,27,32,84.4,,6,25,31,80.6,,7,21,28,75,,5,24,29,82.8,,7,20,27,74.1,,5,28,33,84.8
58,Louisa,9,1368,Columbus,17,24,41,58.5,,25,27,52,51.9,,25,28,53,52.8,,21,30,51,58.8,,17,31,48,64.6,,19,34,53,64.2,,19,33,52,63.5,,23,31,54,57.4
14,Carroll,11,1413,Coon Rapids-Bayard,2,16,18,88.9,,3,27,30,90,,7,15,22,68.2,,5,21,26,80.8,,7,16,23,69.6,,7,24,31,77.4,,4,24,28,85.7,,2,31,33,93.9
2,Adams,13,1431,Corning,3,15,18,83.3,,10,22,32,68.8,,1,26,27,96.3,,,,,,,,,,,,,,,,,4,27,31,87.1,,5,24,29,82.8
41,Hancock,7,1449,Corwith-Wesley,,,,,,,,,,,,,,,,,,,,,2,8,10,80,,2,9,11,81.8,,,11,11,100,,4,8,12,66.7
78,Pottawattamie,13,1476,Council Bluffs,205,402,607,66.2,,206,360,566,63.6,,186,421,607,69.4,,216,371,587,63.2,,166,356,522,68.2,,157,367,524,70,,98,411,509,80.7,,198,376,574,65.5
88,Union,13,1503,Creston,24,84,108,77.8,,32,52,84,61.9,,27,74,101,73.3,,32,53,85,62.4,,26,59,85,69.4,,19,80,99,80.8,,9,108,117,92.3,,26,90,116,77.6
25,Dallas,11,1576,Dallas Center-Grimes,12,168,180,93.3,,26,148,174,85.1,,27,158,185,85.4,,27,131,158,82.9,,17,136,153,88.9,,26,145,171,84.8,,11,149,160,93.1,,21,143,164,87.2
29,Des Moines,15,1602,Danville,9,26,35,74.3,,11,28,39,71.8,,38,,38,0,,7,37,44,84.1,,14,36,50,72,,8,27,35,77.1,,3,44,47,93.6,,7,40,47,85.1
82,Scott,9,1611,Davenport,377,693,1070,64.8,,391,717,1108,64.7,,375,661,1036,63.8,,403,630,1033,61,,364,634,998,63.5,,383,643,1026,62.7,,217,781,998,78.3,,306,637,943,67.6
