,,,,,Grade 3,,,,,Grade 4,,,,,Grade 5,,,,,Grade 6,,,,,Grade 7,,,,,Grade 8,,,,,Grade 11,,,,,,
County,County Name,AEA,District #,District Name,Not Proficient,Proficient,Total Tested,% Proficient,,Not Proficient,Proficient,Total Tested,% Proficient,,Not Proficient,Proficient,Total Tested,% Proficient,,Not Proficient,Proficient,Total Tested,% Proficient,,Not Proficient,Proficient,Total Tested,% Proficient,,Not Proficient,Proficient,Total Tested,% Proficient,,Not Proficient,Proficient,Total Tested,% Proficient,,,
42,Hardin,07,0009,AGWSR,6,32,38,84.2,,8,33,41,80.5,,7,31,38,81.6,,2,27,29,93.1,,0,25,25,100,,3,36,39,92.3,,4,29,33,87.9,,,
39,Guthrie,11,0018,Adair-Casey,2,16,18,88.9,,3,23,26,88.5,,0,24,24,100,,1,16,17,94.1,,3,20,23,87,,8,14,22,63.6,,3,22,25,88,,,
25,Dallas,11,0027,Adel DeSoto Minburn,20,105,125,84,,16,100,116,86.2,,21,73,94,77.7,,12,101,113,89.4,,4,108,112,96.4,,11,95,106,89.6,,8,97,105,92.4,,,
75,Plymouth,12,0063,Akron Westfield,6,32,38,84.2,,6,29,35,82.9,,7,24,31,77.4,,5,24,29,82.8,,5,33,38,86.8,,5,22,27,81.5,,5,25,30,83.3,,,
11,Buena Vista,05,0072,Albert City-Truesdale,small N,small N,small N,small N,,2,13,15,86.7,,small N,small N,small N,small N,,4,13,17,76.5,,0,0,0,,,0,0,0,,,0,0,0,,,,
68,Monroe,15,0081,Albia,9,72,81,88.9,,14,66,80,82.5,,17,63,80,78.8,,15,64,79,81,,15,62,77,80.5,,22,51,73,69.9,,12,73,85,85.9,,,
57,Linn,10,0099,Alburnett,7,45,52,86.5,,0,40,40,100,,7,36,43,83.7,,13,32,45,71.1,,5,39,44,88.6,,8,39,47,83,,10,38,48,79.2,,,
42,Hardin,07,0108,Alden,2,27,29,93.1,,1,17,18,94.4,,1,20,21,95.2,,21,68,89,76.4,,0,0,0,,,0,0,0,,,0,0,0,,,,
55,Kossuth,05,0126,Algona,8,93,101,92.1,,14,72,86,83.7,,19,67,86,77.9,,20,69,89,77.5,,8,89,97,91.8,,13,81,94,86.2,,20,80,100,80,,,
03,Allamakee,01,0135,Allamakee,2,74,76,97.4,,4,63,67,94,,21,47,68,69.1,,20,76,96,79.2,,7,54,61,88.5,,10,70,80,87.5,,7,83,90,92.2,,,
