,,,,,Grade 3,,,,,Grade 4,,,,,Grade 5,,,,,Grade 6,,,,,Grade 7,,,,,Grade 8,,,,,Grade 11,,,,,,
County,County Name,AEA,District #,District Name,Not Proficient,Proficient,Total Tested,% Proficient,,Not Proficient,Proficient,Total Tested,% Proficient,,Not Proficient,Proficient,Total Tested,% Proficient,,Not Proficient,Proficient,Total Tested,% Proficient,,Not Proficient,Proficient,Total Tested,% Proficient,,Not Proficient,Proficient,Total Tested,% Proficient,,Not Proficient,Proficient,Total Tested,% Proficient,,,
42,Hardin,07,0009,AGWSR,7,31,38,81.6,,10,31,41,75.6,,9,29,38,76.3,,5,24,29,82.8,,4,21,25,84,,8,31,39,79.5,,6,27,33,81.8,,,
39,Guthrie,11,0018,Adair-Casey,5,13,18,72.2,,7,19,26,73.1,,3,21,24,87.5,,3,14,17,82.4,,7,16,23,69.6,,9,13,22,59.1,,7,18,25,72,,,
25,Dallas,11,0027,Adel DeSoto Minburn,18,107,125,85.6,,10,106,116,91.4,,6,88,94,93.6,,14,99,113,87.6,,16,96,112,85.7,,8,98,106,92.5,,10,95,105,90.5,,,
75,Plymouth,12,0063,Akron Westfield,3,35,38,92.1,,8,27,35,77.1,,3,28,31,90.3,,8,21,29,72.4,,10,28,38,73.7,,6,21,27,77.8,,2,28,30,93.3,,,
11,Buena Vista,05,0072,Albert City-Truesdale,small N,small N,small N,small N,,2,13,15,86.7,,small N,small N,small N,small N,,5,12,17,70.6,,0,0,0,,,0,0,0,,,0,0,0,,,,
68,Monroe,15,0081,Albia,19,62,81,76.5,,23,57,80,71.3,,15,65,80,81.3,,16,63,79,79.7,,20,57,77,74,,17,55,72,76.4,,14,71,85,83.5,,,
57,Linn,10,0099,Alburnett,11,41,52,78.8,,7,33,40,82.5,,4,39,43,90.7,,17,28,45,62.2,,8,36,44,81.8,,10,37,47,78.7,,9,39,48,81.3,,,
42,Hardin,07,0108,Alden,12,17,29,58.6,,5,13,18,72.2,,5,16,21,76.2,,15,74,89,83.1,,0,0,0,,,0,0,0,,,0,0,0,,,,
55,Kossuth,05,0126,Algona,12,89,101,88.1,,16,70,86,81.4,,26,60,86,69.8,,10,79,89,88.8,,8,89,97,91.8,,25,69,94,73.4,,17,83,100,83,,,
03,Allamakee,01,0135,Allamakee,10,66,76,86.8,,6,61,67,91,,9,59,68,86.8,,18,78,96,81.3,,11,50,61,82,,16,64,80,80,,14,76,90,84.4,,,
12,Butler,07,0153,North Butler,10,39,49,79.6,,15,41,56,73.2,,8,36,44,81.8,,5,30,35,85.7,,9,26,35,74.3,,9,36,45,80,,7,39,46,84.8,,,
11,Buena Vista,05,0171,Alta,7,30,37,81.1,,13,25,38,65.8,,9,24,33,72.7,,0,0,0,,,0,0,0,,,0,0,0,,,6,46,52,88.5,,,
85,Story,11,0225,Ames,27,228,255,89.4,,27,220,247,89.1,,39,265,304,87.2,,32,214,246,87,,29,250,279,89.6,,42,243,285,85.3,,27,237,264,89.8,,,
53,Jones,10,0234,Anamosa,19,60,79,75.9,,17,58,75,77.3,,18,57,75,76,,27,51,78,65.4,,22,75,97,77.3,,17,74,91,81.3,,19,73,92,79.3,,,
49,Jackson,09,0243,Andrew,5,12,17,70.6,,1,9,10,90,,2,17,19,89.5,,6,8,14,57.1,,2,17,19,89.5,,5,10,15,66.7,,0,0,0,,,,
77,Polk,11,0261,Ankeny,72,712,784,90.8,,81,690,771,89.5,,81,682,763,89.4,,95,627,722,86.8,,81,661,742,89.1,,77,608,685,88.8,,35,579,614,94.3,,,
12,Butler,07,0279,Aplington-Parkersburg,6,46,52,88.5,,6,54,60,90,,12,42,54,77.8,,14,37,51,72.5,,19,46,65,70.8,,15,38,53,71.7,,9,63,72,87.5,,,
32,Emmet,05,0333,North Union,7,26,33,78.8,,4,15,19,78.9,,10,17,27,63,,0,0,0,,,0,0,0,,,0,0,0,,,6,33,39,84.6,,,
24,Crawford,12,0355,Ar-We-Va,0,13,13,100,,1,13,14,92.9,,2,11,13,84.6,,2,14,16,87.5,,2,11,13,84.6,,1,11,12,91.7,,0,13,13,100,,,
15,Cass,13,0387,Atlantic,18,89,107,83.2,,28,78,106,73.6,,20,71,91,78,,26,78,104,75,,10,86,96,89.6,,22,76,98,77.6,,15,60,75,80,,,
05,Audubon,11,0414,Audubon,5,31,36,86.1,,8,20,28,71.4,,4,33,37,89.2,,6,32,38,84.2,,8,28,36,77.8,,6,21,27,77.8,,6,47,53,88.7,,,
18,Cherokee,12,0423,Aurelia,1,9,10,90,,3,8,11,72.7,,3,11,14,78.6,,19,33,52,63.5,,14,40,54,74.1,,12,41,53,77.4,,0,0,0,,,,
78,Pottawattamie,13,0441,A-H-S-T,7,26,33,78.8,,7,25,32,78.1,,8,25,33,75.8,,8,29,37,78.4,,11,31,42,73.8,,12,25,37,67.6,,9,41,50,82,,,
85,Story,11,0472,Ballard,20,78,98,79.6,,26,83,109,76.1,,25,79,104,76,,28,106,134,79.1,,21,103,124,83.1,,19,94,113,83.2,,21,90,111,81.1,,,
47,Ida,12,0504,Battle Creek-Ida Grove,6,48,54,88.9,,5,34,39,87.2,,11,38,49,77.6,,0,0,0,,,0,0,0,,,small N,small N,small N,small N,,8,43,51,84.3,,,
50,Jasper,11,0513,Baxter,8,27,35,77.1,,10,24,34,70.6,,3,19,22,86.4,,4,23,27,85.2,,8,19,27,70.4,,4,26,30,86.7,,3,27,30,90,,,
38,Grundy,07,0540,BCLUW,11,29,40,72.5,,7,31,38,81.6,,14,31,45,68.9,,6,31,37,83.8,,7,31,38,81.6,,10,42,52,80.8,,10,38,48,79.2,,,
87,Taylor,13,0549,Bedford,7,34,41,82.9,,5,18,23,78.3,,9,21,30,70,,3,23,26,88.5,,4,25,29,86.2,,3,23,26,88.5,,0,35,35,100,,,
06,Benton,10,0576,Belle Plaine,0,24,24,100,,10,32,42,76.2,,5,42,47,89.4,,9,27,36,75,,13,29,42,69,,11,35,46,76.1,,9,25,34,73.5,,,
49,Jackson,09,0585,Bellevue,9,36,45,80,,6,30,36,83.3,,7,33,40,82.5,,16,24,40,60,,17,36,53,67.9,,11,44,55,80,,9,42,51,82.4,,,
99,Wright,07,0594,Belmond-Klemme,11,23,34,67.6,,10,44,54,81.5,,5,59,64,92.2,,7,43,50,86,,8,33,41,80.5,,7,31,38,81.6,,7,32,39,82.1,,,
16,Cedar,09,0603,Bennett,small N,small N,small N,small N,,small N,small N,small N,small N,,5,7,12,58.3,,2,10,12,83.3,,0,0,0,,,0,0,0,,,0,0,0,,,,
06,Benton,10,0609,Benton,20,70,90,77.8,,18,74,92,80.4,,22,89,111,80.2,,11,101,112,90.2,,16,73,89,82,,11,89,100,89,,17,81,98,82.7,,,
82,Scott,09,0621,Bettendorf,37,237,274,86.5,,42,234,276,84.8,,31,265,296,89.5,,47,247,294,84,,52,270,322,83.9,,76,260,336,77.4,,46,294,340,86.5,,,
90,Wapello,15,0657,Eddyville-Blakesburg-,23,48,71,67.6,,10,43,53,81.1,,19,49,68,72.1,,24,45,69,65.2,,16,52,68,76.5,,15,63,78,80.8,,10,37,47,78.7,,,
77,Polk,11,0720,Bondurant-Farrar,23,126,149,84.6,,28,112,140,80,,17,98,115,85.2,,25,103,128,80.5,,15,105,120,87.5,,16,101,117,86.3,,16,89,105,84.8,,,
08,Boone,11,0729,Boone,32,98,130,75.4,,9,99,108,91.7,,20,92,112,82.1,,21,104,125,83.2,,38,102,140,72.9,,30,106,136,77.9,,24,132,156,84.6,,,
84,Sioux,12,0747,Boyden-Hull,2,45,47,95.7,,2,43,45,95.6,,12,37,49,75.5,,6,43,49,87.8,,6,42,48,87.5,,7,37,44,84.1,,10,35,45,77.8,,,
41,Hancock,07,0819,West Hancock,4,42,46,91.3,,8,37,45,82.2,,17,28,45,62.2,,9,33,42,78.6,,7,32,39,82.1,,6,30,36,83.3,,13,31,44,70.5,,,
79,Poweshiek,07,0846,Brooklyn-Guernsey-Malcom,4,30,34,88.2,,5,34,39,87.2,,8,26,34,76.5,,4,24,28,85.7,,10,29,39,74.4,,12,32,44,72.7,,12,41,53,77.4,,,
95,Winnebago,07,0873,North Iowa,6,21,27,77.8,,7,16,23,69.6,,7,24,31,77.4,,4,16,20,80,,11,26,37,70.3,,10,22,32,68.8,,7,23,30,76.7,,,
29,Des Moines,15,0882,Burlington,72,214,286,74.8,,59,191,250,76.4,,67,211,278,75.9,,92,183,275,66.5,,99,181,280,64.6,,94,139,233,59.7,,69,162,231,70.1,,,
15,Cass,13,0914,CAM,6,27,33,81.8,,7,32,39,82.1,,6,34,40,85,,10,32,42,76.2,,13,33,46,71.7,,15,31,46,67.4,,5,51,56,91.1,,,
35,Franklin,07,0916,CAL,8,9,17,52.9,,8,11,19,57.9,,3,13,16,81.3,,9,8,17,47.1,,6,10,16,62.5,,4,9,13,69.2,,2,10,12,83.3,,,
23,Clinton,09,0918,Calamus-Wheatland,3,27,30,90,,8,22,30,73.3,,9,17,26,65.4,,9,26,35,74.3,,8,26,34,76.5,,11,35,46,76.1,,6,31,37,83.8,,,
23,Clinton,09,0936,Camanche,16,50,66,75.8,,14,65,79,82.3,,11,59,70,84.3,,9,67,76,88.2,,23,51,74,68.9,,8,55,63,87.3,,13,67,80,83.8,,,
