,,,,,Grade 3,,,,,Grade 4,,,,,Grade 5,,,,,Grade 6,,,,,Grade 7,,,,,Grade 8,,,,,Grade 10,,,,,Grade 11,,,,,,,,,,,
County,County Name,AEA,District #,District Name,Not Proficient,Proficient,Total Tested,% Proficient,,Not Proficient,Proficient,Total Tested,% Proficient,,Not Proficient,Proficient,Total Tested,% Proficient,,Not Proficient,Proficient,Total Tested,% Proficient,,Not Proficient,Proficient,Total Tested,% Proficient,,Not Proficient,Proficient,Total Tested,% Proficient,,Not Proficient,Proficient,Total Tested,% Proficient,,Not Proficient,Proficient,Total Tested,% Proficient,,,,,,,,
42,Hardin,07,0009,AGWSR,6,35,41,85.4,,6,32,38,84.2,,3,43,46,93.5,,8,32,40,80.0,,1,40,41,97.6,,7,30,37,81.1,,1,25,26,96.2,,10,30,40,75.0,,,,,,,,
39,Guthrie,11,0018,Adair-Casey,1,15,16,93.8,,0,19,19,100.0,,2,13,15,86.7,,2,12,14,85.7,,9,47,56,83.9,,5,56,61,91.8,,0,0,0,,,0,0,0,,,,,,,,,
25,Dallas,11,0027,Adel DeSoto Minburn,22,121,143,84.6,,21,114,135,84.4,,19,120,139,86.3,,23,117,140,83.6,,10,115,125,92.0,,15,95,110,86.4,,8,110,118,93.2,,8,101,109,92.7,,,,,,,,
75,Plymouth,12,0063,Akron Westfield,1,34,35,97.1,,1,31,32,96.9,,9,36,45,80.0,,8,38,46,82.6,,5,30,35,85.7,,6,30,36,83.3,,3,37,40,92.5,,5,24,29,82.8,,,,,,,,
11,Buena Vista,05,0072,Albert City-Truesdale,1,12,13,92.3,,4,7,11,63.6,,3,10,13,76.9,,3,7,10,70.0,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,,,,,,,
68,Monroe,15,0081,Albia,14,70,84,83.3,,20,75,95,78.9,,19,66,85,77.6,,17,73,90,81.1,,12,69,81,85.2,,17,73,90,81.1,,10,74,84,88.1,,14,57,71,80.3,,,,,,,,
57,Linn,10,0099,Alburnett,10,41,51,80.4,,10,35,45,77.8,,8,42,50,84.0,,12,34,46,73.9,,6,34,40,85.0,,7,39,46,84.8,,7,37,44,84.1,,9,40,49,81.6,,,,,,,,
42,Hardin,07,0108,Alden,4,25,29,86.2,,2,14,16,87.5,,4,12,16,75.0,,32,83,115,72.2,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,,,,,,,
55,Kossuth,05,0126,Algona,17,75,92,81.5,,13,74,87,85.1,,24,78,102,76.5,,29,75,104,72.1,,17,88,105,83.8,,19,78,97,80.4,,8,89,97,91.8,,17,79,96,82.3,,,,,,,,
