,,,,,Grade 3,,,,,Grade 4,,,,,Grade 5,,,,,Grade 6,,,,,Grade 7,,,,,Grade 8,,,,,Grade 10,,,,,Grade 11,,,,,,,,
County,County Name,AEA,District #,District Name,Not Proficient,Proficient,Total Tested,% Proficient,,Not Proficient,Proficient,Total Tested,% Proficient,,Not Proficient,Proficient,Total Tested,% Proficient,,Not Proficient,Proficient,Total Tested,% Proficient,,Not Proficient,Proficient,Total Tested,% Proficient,,Not Proficient,Proficient,Total Tested,% Proficient,,Not Proficient,Proficient,Total Tested,% Proficient,,Not Proficient,Proficient,Total Tested,% Proficient,,,,,
42,Hardin,07,0009,AGWSR,12,29,41,70.7,,4,34,38,89.5,,11,35,46,76.1,,11,29,40,72.5,,7,34,41,82.9,,7,30,37,81.1,,3,23,26,88.5,,10,30,40,75.0,,,,,
39,Guthrie,11,0018,Adair-Casey,4,12,16,75.0,,5,14,19,73.7,,3,12,15,80.0,,3,11,14,78.6,,15,41,56,73.2,,6,55,61,90.2,,0,0,0,,,0,0,0,,,,,,
25,Dallas,11,0027,Adel DeSoto Minburn,21,122,143,85.3,,23,112,135,83.0,,23,116,139,83.5,,19,121,140,86.4,,21,104,125,83.2,,11,99,110,90.0,,11,107,118,90.7,,13,96,109,88.1,,,,,
75,Plymouth,12,0063,Akron Westfield,5,30,35,85.7,,3,30,33,90.9,,10,35,45,77.8,,8,38,46,82.6,,11,24,35,68.6,,11,25,36,69.4,,3,37,40,92.5,,4,25,29,86.2,,,,,
11,Buena Vista,05,0072,Albert City-Truesdale,2,11,13,84.6,,1,10,11,90.9,,2,11,13,84.6,,2,8,10,80.0,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,,,,
68,Monroe,15,0081,Albia,16,68,84,81.0,,23,72,95,75.8,,12,73,85,85.9,,10,80,90,88.9,,18,63,81,77.8,,19,71,90,78.9,,9,75,84,89.3,,12,59,71,83.1,,,,,
57,Linn,10,0099,Alburnett,9,42,51,82.4,,9,36,45,80.0,,7,43,50,86.0,,15,31,46,67.4,,7,33,40,82.5,,13,33,46,71.7,,4,40,44,90.9,,9,40,49,81.6,,,,,
42,Hardin,07,0108,Alden,9,20,29,69.0,,4,12,16,75.0,,4,12,16,75.0,,41,74,115,64.3,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,,,,
55,Kossuth,05,0126,Algona,17,75,92,81.5,,21,66,87,75.9,,16,86,102,84.3,,20,84,104,80.8,,25,80,105,76.2,,25,72,97,74.2,,9,88,97,90.7,,21,75,96,78.1,,,,,
