County,County Name,AEA,District #,District Name,Grade 3 Not Proficient,Grade 3 Proficient,Grade 3 Total Tested,Grade 3 % Proficient,,Grade 4 Not Proficient,Grade 4 Proficient,Grade 4 Total Tested,Grade 4 % Proficient,,Grade 5 Not Proficient,Grade 5 Proficient,Grade 5 Total Tested,Grade 5 % Proficient,,Grade 6 Not Proficient,Grade 6 Proficient,Grade 6 Total Tested,Grade 6 % Proficient,,Grade 7 Not Proficient,Grade 7 Proficient,Grade 7 Total Tested,Grade 7 % Proficient,,Grade 8 Not Proficient,Grade 8 Proficient,Grade 8 Total Tested,Grade 8 % Proficient,,Grade 10 Not Proficient,Grade 10 Proficient,Grade 10 Total Tested,Grade 10 % Proficient,,Grade 11 Not Proficient,Grade 11 Proficient,Grade 11 Total Tested,Grade 11 % Proficient,,,
42,Hardin,07,0009,AGWSR Comm School District,14,32,46,69.6,,14,32,46,69.6,,9,36,45,80.0,,19,34,53,64.2,,13,35,48,72.9,,13,35,48,72.9,,12,25,37,67.6,,13,14,27,51.9,,,
39,Guthrie,11,0018,Adair-Casey Comm School District,4,15,19,78.9,,3,13,16,81.3,,2,18,20,90.0,,2,14,16,87.5,,7,45,52,86.5,,8,49,57,86.0,,0,0,0,,,0,0,0,,,,
25,Dallas,11,0027,Adel DeSoto Minburn Comm School District,35,114,149,76.5,,32,122,154,79.2,,47,103,150,68.7,,33,114,147,77.6,,38,113,151,74.8,,22,112,134,83.6,,22,115,137,83.9,,15,106,121,87.6,,,
75,Plymouth,12,0063,Akron Westfield Comm School District,5,37,42,88.1,,1,46,47,97.9,,7,35,42,83.3,,9,45,54,83.3,,7,38,45,84.4,,10,35,45,77.8,,13,29,42,69.0,,14,32,46,69.6,,,
11,Buena Vista,05,0072,Albert City-Truesdale Comm School District,small N,small N,small N,small N,,4,13,17,76.5,,4,6,10,60.0,,4,10,14,71.4,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,,
68,Monroe,15,0081,Albia Comm School District,13,62,75,82.7,,24,67,91,73.6,,24,69,93,74.2,,18,72,90,80.0,,22,77,99,77.8,,15,72,87,82.8,,32,65,97,67.0,,21,57,78,73.1,,,
57,Linn,10,0099,Alburnett Comm School District,13,36,49,73.5,,6,50,56,89.3,,6,45,51,88.2,,16,44,60,73.3,,12,42,54,77.8,,12,32,44,72.7,,23,29,52,55.8,,9,33,42,78.6,,,
42,Hardin,07,0108,Alden Comm School District,3,16,19,84.2,,10,18,28,64.3,,8,10,18,55.6,,5,6,11,54.5,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,,
55,Kossuth,05,0126,Algona Comm School District,25,64,89,71.9,,18,77,95,81.1,,29,56,85,65.9,,29,86,115,74.8,,26,94,120,78.3,,40,68,108,63.0,,32,65,97,67.0,,19,73,92,79.3,,,
03,Allamakee,01,0135,Allamakee Comm School District,10,67,77,87.0,,21,50,71,70.4,,34,41,75,54.7,,17,61,78,78.2,,26,69,95,72.6,,12,77,89,86.5,,27,86,113,76.1,,13,65,78,83.3,,,
12,Butler,07,0153,North Butler Comm School District,5,28,33,84.8,,12,33,45,73.3,,7,47,54,87.0,,15,36,51,70.6,,18,22,40,55.0,,10,33,43,76.7,,11,24,35,68.6,,10,19,29,65.5,,,
11,Buena Vista,05,0171,Alta-Aurelia Comm School District,24,41,65,63.1,,21,30,51,58.8,,14,38,52,73.1,,18,36,54,66.7,,12,38,50,76.0,,10,47,57,82.5,,26,25,51,49.0,,17,36,53,67.9,,,
85,Story,11,0225,Ames Comm School District,85,248,333,74.5,,103,247,350,70.6,,90,248,338,73.4,,78,278,356,78.1,,78,240,318,75.5,,65,248,313,79.2,,62,239,301,79.4,,60,237,297,79.8,,,
53,Jones,10,0234,Anamosa Comm School District,38,39,77,50.6,,26,54,80,67.5,,48,45,93,48.4,,19,74,93,79.6,,31,83,114,72.8,,19,81,100,81.0,,37,57,94,60.6,,34,65,99,65.7,,,
49,Jackson,09,0243,Andrew Comm School District,3,8,11,72.7,,0,13,13,100.0,,3,14,17,82.4,,small N,small N,small N,small N,,7,5,12,41.7,,small N,small N,small N,small N,,0,0,0,,,0,0,0,,,,
77,Polk,11,0261,Ankeny Comm School District,124,784,908,86.3,,101,802,903,88.8,,119,851,970,87.7,,149,746,895,83.4,,122,772,894,86.4,,147,744,891,83.5,,114,705,819,86.1,,123,664,787,84.4,,,
12,Butler,07,0279,Aplington-Parkersburg Comm School District,11,34,45,75.6,,14,47,61,77.0,,22,45,67,67.2,,12,49,61,80.3,,9,44,53,83.0,,27,38,65,58.5,,13,42,55,76.4,,19,46,65,70.8,,,
32,Emmet,05,0333,North Union Comm School District,8,11,19,57.9,,3,24,27,88.9,,10,16,26,61.5,,0,0,0,,,0,0,0,,,0,0,0,,,28,22,50,44.0,,26,23,49,46.9,,,
24,Crawford,12,0355,Ar-We-Va Comm School District,11,6,17,35.3,,2,11,13,84.6,,1,17,18,94.4,,7,12,19,63.2,,2,9,11,81.8,,2,11,13,84.6,,5,11,16,68.8,,5,12,17,70.6,,,
15,Cass,13,0387,Atlantic Comm School District,26,74,100,74.0,,21,76,97,78.4,,45,68,113,60.2,,49,69,118,58.5,,21,75,96,78.1,,39,76,115,66.1,,31,73,104,70.2,,22,67,89,75.3,,,
05,Audubon,11,0414,Audubon Comm School District,16,21,37,56.8,,23,21,44,47.7,,8,32,40,80.0,,4,34,38,89.5,,6,29,35,82.9,,8,26,34,76.5,,10,31,41,75.6,,13,25,38,65.8,,,
78,Pottawattamie,13,0441,AHSTW Comm School District,11,36,47,76.6,,12,37,49,75.5,,8,42,50,84.0,,7,45,52,86.5,,8,43,51,84.3,,6,37,43,86.0,,13,41,54,75.9,,16,41,57,71.9,,,
85,Story,11,0472,Ballard Comm School District,25,94,119,79.0,,18,131,149,87.9,,21,97,118,82.2,,18,115,133,86.5,,20,88,108,81.5,,26,88,114,77.2,,29,112,141,79.4,,29,104,133,78.2,,,
50,Jasper,11,0513,Baxter Comm School District,8,29,37,78.4,,2,17,19,89.5,,11,19,30,63.3,,11,22,33,66.7,,8,26,34,76.5,,12,28,40,70.0,,5,20,25,80.0,,6,25,31,80.6,,,
38,Grundy,07,0540,BCLUW Comm School District,16,24,40,60.0,,13,25,38,65.8,,18,26,44,59.1,,13,33,46,71.7,,9,33,42,78.6,,5,33,38,86.8,,10,34,44,77.3,,9,26,35,74.3,,,
87,Taylor,13,0549,Bedford Comm School District,6,24,30,80.0,,5,22,27,81.5,,4,34,38,89.5,,7,22,29,75.9,,6,34,40,85.0,,8,23,31,74.2,,5,24,29,82.8,,8,26,34,76.5,,,
06,Benton,10,0576,Belle Plaine Comm School District,13,18,31,58.1,,5,26,31,83.9,,6,19,25,76.0,,7,25,32,78.1,,7,17,24,70.8,,8,34,42,81.0,,12,27,39,69.2,,10,27,37,73.0,,,
49,Jackson,09,0585,Bellevue Comm School District,12,31,43,72.1,,4,37,41,90.2,,5,41,46,89.1,,12,33,45,73.3,,9,46,55,83.6,,14,36,50,72.0,,21,36,57,63.2,,21,43,64,67.2,,,
99,Wright,07,0594,Belmond-Klemme Comm School District,22,32,54,59.3,,10,35,45,77.8,,7,62,69,89.9,,21,38,59,64.4,,29,21,50,42.0,,28,35,63,55.6,,21,38,59,64.4,,23,23,46,50.0,,,
16,Cedar,09,0603,Bennett Comm School District,small N,small N,small N,small N,,5,10,15,66.7,,5,7,12,58.3,,small N,small N,small N,small N,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,,
06,Benton,10,0609,Benton Comm School District,24,74,98,75.5,,30,79,109,72.5,,34,69,103,67.0,,30,78,108,72.2,,37,79,116,68.1,,22,80,102,78.4,,31,93,124,75.0,,26,72,98,73.5,,,
82,Scott,09,0621,Bettendorf Comm School District,58,279,337,82.8,,59,289,348,83.0,,59,284,343,82.8,,76,272,348,78.2,,71,287,358,80.2,,82,291,373,78.0,,90,284,374,75.9,,79,291,370,78.6,,,
90,Wapello,15,0657,Eddyville-Blakesburg- Fremont CSD,18,52,70,74.3,,16,56,72,77.8,,25,42,67,62.7,,23,43,66,65.2,,21,54,75,72.0,,19,43,62,69.4,,41,40,81,49.4,,38,29,67,43.3,,,
77,Polk,11,0720,Bondurant-Farrar Comm School District,42,136,178,76.4,,38,153,191,80.1,,78,95,173,54.9,,44,140,184,76.1,,40,133,173,76.9,,35,130,165,78.8,,35,101,136,74.3,,30,107,137,78.1,,,
08,Boone,11,0729,Boone Comm School District,36,82,118,69.5,,25,106,131,80.9,,95,55,150,36.7,,73,83,156,53.2,,49,107,156,68.6,,46,99,145,68.3,,23,110,133,82.7,,45,97,142,68.3,,,
84,Sioux,12,0747,Boyden-Hull Comm School District,13,16,29,55.2,,6,32,38,84.2,,5,31,36,86.1,,10,30,40,75.0,,13,39,52,75.0,,9,44,53,83.0,,14,44,58,75.9,,9,42,51,82.4,,,
41,Hancock,07,0819,West Hancock Comm School District,6,30,36,83.3,,11,30,41,73.2,,7,27,34,79.4,,9,30,39,76.9,,5,37,42,88.1,,4,37,41,90.2,,6,35,41,85.4,,10,37,47,78.7,,,
79,Poweshiek,07,0846,Brooklyn-Guernsey-Malcom Comm School District,13,37,50,74.0,,9,32,41,78.0,,10,38,48,79.2,,8,35,43,81.4,,4,27,31,87.1,,13,32,45,71.1,,7,27,34,79.4,,10,29,39,74.4,,,
