County,County Name,AEA,District #,District Name,Grade 3 Not Proficient,Grade 3 Proficient,Grade 3 Total Tested,Grade 3 % Proficient,,Grade 4 Not Proficient,Grade 4 Proficient,Grade 4 Total Tested,Grade 4 % Proficient,,Grade 5 Not Proficient,Grade 5 Proficient,Grade 5 Total Tested,Grade 5 % Proficient,,Grade 6 Not Proficient,Grade 6 Proficient,Grade 6 Total Tested,Grade 6 % Proficient,,Grade 7 Not Proficient,Grade 7 Proficient,Grade 7 Total Tested,Grade 7 % Proficient,,Grade 8 Not Proficient,Grade 8 Proficient,Grade 8 Total Tested,Grade 8 % Proficient,,Grade 10 Not Proficient,Grade 10 Proficient,Grade 10 Total Tested,Grade 10 % Proficient,,Grade 11 Not Proficient,Grade 11 Proficient,Grade 11 Total Tested,Grade 11 % Proficient,,,
42,Hardin,07,0009,AGWSR Comm School District,16,30,46,65.2,,11,35,46,76.1,,10,35,45,77.8,,23,30,53,56.6,,11,36,47,76.6,,9,39,48,81.3,,11,26,37,70.3,,11,16,27,59.3,,,
39,Guthrie,11,0018,Adair-Casey Comm School District,6,13,19,68.4,,4,12,16,75.0,,6,14,20,70.0,,5,11,16,68.8,,8,44,52,84.6,,17,40,57,70.2,,0,0,0,,,0,0,0,,,,
25,Dallas,11,0027,Adel DeSoto Minburn Comm School District,62,87,149,58.4,,39,115,154,74.7,,44,106,150,70.7,,33,114,147,77.6,,32,119,151,78.8,,32,102,134,76.1,,12,125,137,91.2,,11,110,121,90.9,,,
75,Plymouth,12,0063,Akron Westfield Comm School District,8,34,42,81.0,,4,43,47,91.5,,10,32,42,76.2,,6,48,54,88.9,,8,37,45,82.2,,14,31,45,68.9,,12,30,42,71.4,,9,37,46,80.4,,,
11,Buena Vista,05,0072,Albert City-Truesdale Comm School District,small N,small N,small N,small N,,1,16,17,94.1,,1,9,10,90.0,,2,12,14,85.7,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,,
68,Monroe,15,0081,Albia Comm School District,14,60,74,81.1,,31,60,91,65.9,,28,65,93,69.9,,20,70,90,77.8,,17,82,99,82.8,,16,71,87,81.6,,15,82,97,84.5,,13,65,78,83.3,,,
57,Linn,10,0099,Alburnett Comm School District,17,32,49,65.3,,22,33,55,60.0,,8,43,51,84.3,,22,38,60,63.3,,16,37,53,69.8,,16,28,44,63.6,,24,27,51,52.9,,7,33,40,82.5,,,
42,Hardin,07,0108,Alden Comm School District,4,15,19,78.9,,9,19,28,67.9,,5,13,18,72.2,,3,8,11,72.7,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,,
55,Kossuth,05,0126,Algona Comm School District,17,72,89,80.9,,14,81,95,85.3,,22,63,85,74.1,,31,84,115,73.0,,29,91,120,75.8,,26,82,108,75.9,,30,66,96,68.8,,22,67,89,75.3,,,
03,Allamakee,01,0135,Allamakee Comm School District,13,64,77,83.1,,23,48,71,67.6,,28,47,75,62.7,,28,50,78,64.1,,24,70,94,74.5,,15,74,89,83.1,,24,89,113,78.8,,14,64,78,82.1,,,
